"username","email","username_prefix","email_username","region_short"
"BRGamer","br@hotmail.com","BRG","br","Brazi"
"TW_Casual","casual@gmail.com","TW_","casual","Taiwa"
"DragonKing2024","dragon@qq.com","Dra","dragon","China"
"IndoLegend","indo@gmail.com","Ind","indo","Indon"
"MYSGamer","mys@outlook.com","MYS","mys","Malay"
"ChinaNoob","noob@163.com","Chi","noob","China"
"PH_Master","ph@yahoo.com","PH_","ph","Phili"
"TaiwanPro","taiwan@gmail.com","Tai","taiwan","Taiwa"
"ThaiWarrior","thai@line.me","Tha","thai","Thail"
"USPlayer1","us@gmail.com","USP","us","Unite"
